instance,flips,success
ruf20-91-102.cnf,18,True
ruf20-91-102.cnf,48,True
ruf20-91-102.cnf,77,True
ruf20-91-102.cnf,56,True
ruf20-91-102.cnf,72,True
ruf20-91-102.cnf,134,True
ruf20-91-102.cnf,33,True
ruf20-91-102.cnf,5,True
ruf20-91-102.cnf,85,True
ruf20-91-102.cnf,35,True
ruf20-91-102.cnf,19,True
ruf20-91-102.cnf,125,True
ruf20-91-102.cnf,13,True
ruf20-91-102.cnf,17,True
ruf20-91-102.cnf,48,True
ruf20-91-102.cnf,56,True
ruf20-91-102.cnf,84,True
ruf20-91-102.cnf,64,True
ruf20-91-102.cnf,14,True
ruf20-91-102.cnf,73,True
ruf20-91-102.cnf,39,True
ruf20-91-102.cnf,63,True
ruf20-91-102.cnf,34,True
ruf20-91-102.cnf,58,True
ruf20-91-102.cnf,20,True
ruf20-91-102.cnf,39,True
ruf20-91-102.cnf,11,True
ruf20-91-102.cnf,62,True
ruf20-91-102.cnf,130,True
ruf20-91-102.cnf,19,True
ruf20-91-102.cnf,179,True
ruf20-91-102.cnf,109,True
ruf20-91-102.cnf,105,True
ruf20-91-102.cnf,107,True
ruf20-91-102.cnf,34,True
ruf20-91-102.cnf,135,True
ruf20-91-102.cnf,13,True
ruf20-91-102.cnf,208,True
ruf20-91-102.cnf,10,True
ruf20-91-102.cnf,19,True
ruf20-91-102.cnf,143,True
ruf20-91-102.cnf,110,True
ruf20-91-102.cnf,120,True
ruf20-91-102.cnf,27,True
ruf20-91-102.cnf,76,True
ruf20-91-102.cnf,72,True
ruf20-91-102.cnf,46,True
ruf20-91-102.cnf,84,True
ruf20-91-102.cnf,407,True
ruf20-91-102.cnf,40,True
ruf20-91-102.cnf,19,True
ruf20-91-102.cnf,54,True
ruf20-91-102.cnf,21,True
ruf20-91-102.cnf,194,True
ruf20-91-102.cnf,16,True
ruf20-91-102.cnf,72,True
ruf20-91-102.cnf,65,True
ruf20-91-102.cnf,29,True
ruf20-91-102.cnf,57,True
ruf20-91-102.cnf,135,True
ruf20-91-102.cnf,66,True
ruf20-91-102.cnf,111,True
ruf20-91-102.cnf,81,True
ruf20-91-102.cnf,46,True
ruf20-91-102.cnf,131,True
ruf20-91-102.cnf,11,True
ruf20-91-102.cnf,89,True
ruf20-91-102.cnf,31,True
ruf20-91-102.cnf,53,True
ruf20-91-102.cnf,25,True
ruf20-91-102.cnf,286,True
ruf20-91-102.cnf,48,True
ruf20-91-102.cnf,69,True
ruf20-91-102.cnf,24,True
ruf20-91-102.cnf,105,True
ruf20-91-102.cnf,194,True
ruf20-91-102.cnf,14,True
ruf20-91-102.cnf,52,True
ruf20-91-102.cnf,14,True
ruf20-91-102.cnf,123,True
ruf20-91-102.cnf,10,True
ruf20-91-102.cnf,281,True
ruf20-91-102.cnf,51,True
ruf20-91-102.cnf,102,True
ruf20-91-102.cnf,110,True
ruf20-91-102.cnf,179,True
