instance,iterations,success
ruf20-91-102.cnf,18,True
ruf20-91-102.cnf,46,True
ruf20-91-102.cnf,52,True
ruf20-91-102.cnf,155,True
ruf20-91-102.cnf,96,True
ruf20-91-102.cnf,74,True
ruf20-91-102.cnf,4,True
ruf20-91-102.cnf,131,True
ruf20-91-102.cnf,103,True
ruf20-91-102.cnf,138,True
ruf20-91-102.cnf,413,True
ruf20-91-102.cnf,11,True
ruf20-91-102.cnf,46,True
ruf20-91-102.cnf,21,True
ruf20-91-102.cnf,25,True
ruf20-91-102.cnf,226,True
ruf20-91-102.cnf,50,True
ruf20-91-102.cnf,56,True
ruf20-91-102.cnf,12,True
ruf20-91-102.cnf,10,True
ruf20-91-102.cnf,214,True
ruf20-91-102.cnf,14,True
ruf20-91-102.cnf,68,True
ruf20-91-102.cnf,265,True
ruf20-91-102.cnf,212,True
ruf20-91-102.cnf,54,True
ruf20-91-102.cnf,140,True
ruf20-91-102.cnf,34,True
ruf20-91-102.cnf,324,True
ruf20-91-102.cnf,48,True
ruf20-91-102.cnf,25,True
ruf20-91-102.cnf,99,True
ruf20-91-102.cnf,179,True
ruf20-91-102.cnf,9,True
ruf20-91-102.cnf,47,True
ruf20-91-102.cnf,180,True
ruf20-91-102.cnf,35,True
ruf20-91-102.cnf,291,True
ruf20-91-102.cnf,20,True
ruf20-91-102.cnf,21,True
ruf20-91-102.cnf,64,True
ruf20-91-102.cnf,38,True
ruf20-91-102.cnf,9,True
ruf20-91-102.cnf,58,True
ruf20-91-102.cnf,13,True
ruf20-91-102.cnf,191,True
ruf20-91-102.cnf,64,True
ruf20-91-102.cnf,133,True
ruf20-91-102.cnf,160,True
ruf20-91-102.cnf,9,True
ruf20-91-102.cnf,21,True
ruf20-91-102.cnf,522,True
ruf20-91-102.cnf,5,True
ruf20-91-102.cnf,24,True
ruf20-91-102.cnf,101,True
ruf20-91-102.cnf,16,True
ruf20-91-102.cnf,196,True
ruf20-91-102.cnf,281,True
ruf20-91-102.cnf,123,True
ruf20-91-102.cnf,21,True
ruf20-91-102.cnf,20,True
ruf20-91-102.cnf,115,True
ruf20-91-102.cnf,47,True
ruf20-91-102.cnf,44,True
ruf20-91-102.cnf,21,True
ruf20-91-102.cnf,123,True
ruf20-91-102.cnf,70,True
ruf20-91-102.cnf,359,True
ruf20-91-102.cnf,52,True
ruf20-91-102.cnf,18,True
ruf20-91-102.cnf,40,True
ruf20-91-102.cnf,107,True
ruf20-91-102.cnf,386,True
ruf20-91-102.cnf,15,True
ruf20-91-102.cnf,116,True
ruf20-91-102.cnf,31,True
ruf20-91-102.cnf,138,True
ruf20-91-102.cnf,143,True
ruf20-91-102.cnf,23,True
ruf20-91-102.cnf,147,True
ruf20-91-102.cnf,442,True
ruf20-91-102.cnf,6,True
ruf20-91-102.cnf,127,True
ruf20-91-102.cnf,207,True
ruf20-91-102.cnf,6,True
ruf20-91-102.cnf,14,True
ruf20-91-102.cnf,4,True
ruf20-91-102.cnf,470,True
ruf20-91-102.cnf,107,True
ruf20-91-102.cnf,249,True
ruf20-91-102.cnf,5,True
ruf20-91-102.cnf,104,True
ruf20-91-102.cnf,105,True
ruf20-91-102.cnf,144,True
ruf20-91-102.cnf,12,True
ruf20-91-102.cnf,44,True
ruf20-91-102.cnf,86,True
ruf20-91-102.cnf,86,True
ruf20-91-102.cnf,44,True
ruf20-91-102.cnf,15,True
ruf20-91-102.cnf,31,True
ruf20-91-102.cnf,97,True
ruf20-91-102.cnf,174,True
ruf20-91-102.cnf,62,True
ruf20-91-102.cnf,176,True
ruf20-91-102.cnf,61,True
ruf20-91-102.cnf,165,True
ruf20-91-102.cnf,118,True
ruf20-91-102.cnf,53,True
ruf20-91-102.cnf,176,True
ruf20-91-102.cnf,410,True
ruf20-91-102.cnf,113,True
ruf20-91-102.cnf,7,True
ruf20-91-102.cnf,161,True
ruf20-91-102.cnf,28,True
ruf20-91-102.cnf,39,True
ruf20-91-102.cnf,123,True
ruf20-91-102.cnf,25,True
ruf20-91-102.cnf,50,True
ruf20-91-102.cnf,9,True
ruf20-91-102.cnf,96,True
ruf20-91-102.cnf,14,True
ruf20-91-102.cnf,11,True
ruf20-91-102.cnf,43,True
ruf20-91-102.cnf,70,True
ruf20-91-102.cnf,34,True
ruf20-91-102.cnf,24,True
ruf20-91-102.cnf,25,True
ruf20-91-102.cnf,7,True
ruf20-91-102.cnf,127,True
ruf20-91-102.cnf,10,True
ruf20-91-102.cnf,17,True
ruf20-91-102.cnf,83,True
ruf20-91-102.cnf,200,True
ruf20-91-102.cnf,78,True
ruf20-91-102.cnf,22,True
ruf20-91-102.cnf,38,True
ruf20-91-102.cnf,39,True
ruf20-91-102.cnf,55,True
ruf20-91-102.cnf,277,True
ruf20-91-102.cnf,46,True
ruf20-91-102.cnf,72,True
ruf20-91-102.cnf,14,True
ruf20-91-102.cnf,171,True
ruf20-91-102.cnf,54,True
