instance,flips,success
uf20-011.cnf,45,True
uf20-011.cnf,15,True
uf20-011.cnf,8,True
uf20-011.cnf,15,True
uf20-011.cnf,191,True
uf20-011.cnf,14,True
uf20-011.cnf,31,True
uf20-011.cnf,6,True
uf20-011.cnf,12,True
uf20-011.cnf,18,True
uf20-011.cnf,8,True
uf20-011.cnf,20,True
uf20-011.cnf,30,True
uf20-011.cnf,8,True
uf20-011.cnf,26,True
uf20-011.cnf,33,True
uf20-011.cnf,58,True
uf20-011.cnf,18,True
uf20-011.cnf,6,True
uf20-011.cnf,12,True
uf20-011.cnf,60,True
uf20-011.cnf,59,True
uf20-011.cnf,11,True
uf20-011.cnf,11,True
uf20-011.cnf,12,True
uf20-011.cnf,46,True
uf20-011.cnf,11,True
uf20-011.cnf,12,True
uf20-011.cnf,8,True
uf20-011.cnf,19,True
uf20-011.cnf,12,True
uf20-011.cnf,17,True
uf20-011.cnf,15,True
uf20-011.cnf,4,True
uf20-011.cnf,45,True
uf20-011.cnf,26,True
uf20-011.cnf,15,True
uf20-011.cnf,13,True
uf20-011.cnf,6,True
uf20-011.cnf,29,True
uf20-011.cnf,51,True
uf20-011.cnf,45,True
uf20-011.cnf,14,True
uf20-011.cnf,23,True
uf20-011.cnf,32,True
uf20-011.cnf,55,True
uf20-011.cnf,6,True
uf20-011.cnf,20,True
uf20-011.cnf,28,True
uf20-011.cnf,9,True
uf20-011.cnf,6,True
uf20-011.cnf,38,True
uf20-011.cnf,33,True
uf20-011.cnf,14,True
uf20-011.cnf,96,True
uf20-011.cnf,13,True
uf20-011.cnf,79,True
uf20-011.cnf,38,True
uf20-011.cnf,4,True
uf20-011.cnf,42,True
uf20-011.cnf,7,True
uf20-011.cnf,10,True
uf20-011.cnf,19,True
uf20-011.cnf,35,True
uf20-011.cnf,12,True
uf20-011.cnf,36,True
uf20-011.cnf,12,True
uf20-011.cnf,25,True
uf20-011.cnf,13,True
uf20-011.cnf,15,True
uf20-011.cnf,38,True
uf20-011.cnf,48,True
uf20-011.cnf,5,True
uf20-011.cnf,27,True
uf20-011.cnf,12,True
uf20-011.cnf,7,True
uf20-011.cnf,13,True
uf20-011.cnf,19,True
uf20-011.cnf,33,True
uf20-011.cnf,52,True
uf20-011.cnf,31,True
uf20-011.cnf,36,True
uf20-011.cnf,50,True
uf20-011.cnf,14,True
uf20-011.cnf,44,True
uf20-011.cnf,16,True
uf20-011.cnf,8,True
uf20-011.cnf,22,True
uf20-011.cnf,24,True
uf20-011.cnf,13,True
uf20-011.cnf,36,True
uf20-011.cnf,28,True
uf20-011.cnf,68,True
uf20-011.cnf,11,True
uf20-011.cnf,10,True
uf20-011.cnf,11,True
uf20-011.cnf,16,True
uf20-011.cnf,22,True
uf20-011.cnf,18,True
uf20-011.cnf,7,True
uf20-011.cnf,15,True
uf20-011.cnf,52,True
uf20-011.cnf,25,True
uf20-011.cnf,14,True
uf20-011.cnf,4,True
uf20-011.cnf,140,True
uf20-011.cnf,16,True
uf20-011.cnf,22,True
uf20-011.cnf,22,True
uf20-011.cnf,45,True
uf20-011.cnf,18,True
uf20-011.cnf,25,True
uf20-011.cnf,4,True
uf20-011.cnf,14,True
uf20-011.cnf,21,True
uf20-011.cnf,14,True
uf20-011.cnf,30,True
uf20-011.cnf,13,True
uf20-011.cnf,9,True
uf20-011.cnf,21,True
uf20-011.cnf,106,True
uf20-011.cnf,11,True
uf20-011.cnf,22,True
uf20-011.cnf,18,True
uf20-011.cnf,9,True
uf20-011.cnf,17,True
