instance,iterations,success
uf20-011.cnf,52,True
uf20-011.cnf,8,True
uf20-011.cnf,19,True
uf20-011.cnf,11,True
uf20-011.cnf,9,True
uf20-011.cnf,34,True
uf20-011.cnf,17,True
uf20-011.cnf,149,True
uf20-011.cnf,33,True
uf20-011.cnf,10,True
uf20-011.cnf,21,True
uf20-011.cnf,236,True
uf20-011.cnf,18,True
uf20-011.cnf,36,True
uf20-011.cnf,65,True
uf20-011.cnf,15,True
uf20-011.cnf,5,True
uf20-011.cnf,383,True
uf20-011.cnf,17,True
uf20-011.cnf,66,True
uf20-011.cnf,16,True
uf20-011.cnf,101,True
uf20-011.cnf,25,True
uf20-011.cnf,8,True
uf20-011.cnf,100,True
uf20-011.cnf,16,True
uf20-011.cnf,240,True
uf20-011.cnf,46,True
uf20-011.cnf,8,True
uf20-011.cnf,29,True
uf20-011.cnf,32,True
uf20-011.cnf,6,True
uf20-011.cnf,27,True
uf20-011.cnf,27,True
uf20-011.cnf,58,True
uf20-011.cnf,49,True
uf20-011.cnf,7,True
uf20-011.cnf,16,True
uf20-011.cnf,17,True
uf20-011.cnf,141,True
uf20-011.cnf,23,True
uf20-011.cnf,13,True
uf20-011.cnf,297,True
uf20-011.cnf,14,True
uf20-011.cnf,8,True
uf20-011.cnf,41,True
uf20-011.cnf,21,True
uf20-011.cnf,16,True
uf20-011.cnf,44,True
uf20-011.cnf,38,True
uf20-011.cnf,88,True
uf20-011.cnf,10,True
uf20-011.cnf,32,True
uf20-011.cnf,10,True
uf20-011.cnf,4,True
uf20-011.cnf,6,True
uf20-011.cnf,16,True
uf20-011.cnf,52,True
uf20-011.cnf,25,True
uf20-011.cnf,6,True
uf20-011.cnf,11,True
uf20-011.cnf,14,True
uf20-011.cnf,28,True
uf20-011.cnf,17,True
uf20-011.cnf,83,True
uf20-011.cnf,28,True
uf20-011.cnf,9,True
uf20-011.cnf,9,True
uf20-011.cnf,9,True
uf20-011.cnf,23,True
uf20-011.cnf,86,True
uf20-011.cnf,11,True
uf20-011.cnf,89,True
uf20-011.cnf,20,True
