instance,iterations,success
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,315,True
5uf20-420-1.cnf,80,True
5uf20-420-1.cnf,117,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,202,True
5uf20-420-1.cnf,220,True
5uf20-420-1.cnf,74,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,378,True
5uf20-420-1.cnf,151,True
5uf20-420-1.cnf,65,True
5uf20-420-1.cnf,39,True
5uf20-420-1.cnf,158,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,29,True
5uf20-420-1.cnf,38,True
5uf20-420-1.cnf,23,True
5uf20-420-1.cnf,41,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,265,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,407,True
5uf20-420-1.cnf,151,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,271,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,264,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,435,True
5uf20-420-1.cnf,228,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,426,True
5uf20-420-1.cnf,142,True
5uf20-420-1.cnf,472,True
5uf20-420-1.cnf,15,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,389,True
5uf20-420-1.cnf,338,True
5uf20-420-1.cnf,403,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,107,True
5uf20-420-1.cnf,47,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,151,True
5uf20-420-1.cnf,104,True
5uf20-420-1.cnf,161,True
5uf20-420-1.cnf,72,True
5uf20-420-1.cnf,40,True
5uf20-420-1.cnf,250,True
5uf20-420-1.cnf,13,True
5uf20-420-1.cnf,283,True
5uf20-420-1.cnf,117,True
5uf20-420-1.cnf,446,True
5uf20-420-1.cnf,19,True
5uf20-420-1.cnf,163,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,393,True
5uf20-420-1.cnf,84,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,73,True
5uf20-420-1.cnf,299,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,43,True
5uf20-420-1.cnf,8,True
5uf20-420-1.cnf,30,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,430,True
5uf20-420-1.cnf,234,True
5uf20-420-1.cnf,465,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,196,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,334,True
5uf20-420-1.cnf,204,True
5uf20-420-1.cnf,94,True
5uf20-420-1.cnf,500,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,7,True
5uf20-420-1.cnf,107,True
5uf20-420-1.cnf,173,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,114,True
5uf20-420-1.cnf,186,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,171,True
5uf20-420-1.cnf,133,True
5uf20-420-1.cnf,119,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,346,True
5uf20-420-1.cnf,52,True
5uf20-420-1.cnf,63,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,91,True
5uf20-420-1.cnf,14,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,359,True
5uf20-420-1.cnf,114,True
5uf20-420-1.cnf,244,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,68,True
5uf20-420-1.cnf,317,True
5uf20-420-1.cnf,29,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,267,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,92,True
5uf20-420-1.cnf,466,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,31,True
5uf20-420-1.cnf,69,True
5uf20-420-1.cnf,500,True
5uf20-420-1.cnf,6,True
5uf20-420-1.cnf,101,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,178,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,415,True
5uf20-420-1.cnf,401,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,306,True
5uf20-420-1.cnf,474,True
5uf20-420-1.cnf,201,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,436,True
5uf20-420-1.cnf,96,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,165,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,15,True
5uf20-420-1.cnf,14,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,309,True
5uf20-420-1.cnf,302,True
5uf20-420-1.cnf,456,True
5uf20-420-1.cnf,140,True
5uf20-420-1.cnf,185,True
5uf20-420-1.cnf,190,True
5uf20-420-1.cnf,103,True
5uf20-420-1.cnf,472,True
5uf20-420-1.cnf,333,True
5uf20-420-1.cnf,41,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,17,True
5uf20-420-1.cnf,21,True
5uf20-420-1.cnf,12,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,125,True
5uf20-420-1.cnf,167,True
5uf20-420-1.cnf,6,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,278,True
5uf20-420-1.cnf,129,True
5uf20-420-1.cnf,443,True
5uf20-420-1.cnf,63,True
5uf20-420-1.cnf,60,True
5uf20-420-1.cnf,31,True
5uf20-420-1.cnf,46,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,131,True
5uf20-420-1.cnf,115,True
5uf20-420-1.cnf,76,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,179,True
5uf20-420-1.cnf,22,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,91,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,242,True
5uf20-420-1.cnf,450,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,366,True
5uf20-420-1.cnf,500,False
5uf20-420-1.cnf,336,True
5uf20-420-1.cnf,461,True
5uf20-420-1.cnf,35,True
5uf20-420-1.cnf,299,True
